	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_10_0.txt	10	0	3.12192809489	1.35677964945	2.92192809489	3.12192809489	2.52192809489	2.64643934467	2.17095059445	3.12192809489	2.92192809489	2.64643934467
alpha_rarefaction_10_1.txt	10	1	2.32192809489	1.77095059445	2.92192809489	3.32192809489	3.32192809489	2.32192809489	1.96096404744	2.64643934467	2.64643934467	2.52192809489
alpha_rarefaction_10_2.txt	10	2	2.32192809489	2.16096404744	2.72192809489	3.12192809489	2.92192809489	2.92192809489	2.64643934467	2.64643934467	2.16096404744	3.12192809489
alpha_rarefaction_10_3.txt	10	3	3.12192809489	2.64643934467	2.84643934467	2.64643934467	2.84643934467	2.37095059445	2.32192809489	3.12192809489	2.84643934467	3.12192809489
alpha_rarefaction_10_4.txt	10	4	3.12192809489	1.77095059445	2.84643934467	3.12192809489	2.52192809489	2.64643934467	2.72192809489	2.84643934467	2.84643934467	2.44643934467
alpha_rarefaction_10_5.txt	10	5	3.12192809489	2.64643934467	2.92192809489	3.32192809489	2.16096404744	2.64643934467	1.15677964945	2.92192809489	3.12192809489	2.44643934467
alpha_rarefaction_10_6.txt	10	6	2.64643934467	1.77095059445	3.12192809489	3.32192809489	3.12192809489	2.92192809489	1.96096404744	3.12192809489	2.52192809489	2.64643934467
alpha_rarefaction_10_7.txt	10	7	3.12192809489	1.96096404744	2.64643934467	3.12192809489	2.84643934467	3.32192809489	2.92192809489	2.72192809489	2.52192809489	3.12192809489
alpha_rarefaction_10_8.txt	10	8	3.12192809489	1.77095059445	2.92192809489	3.12192809489	2.64643934467	2.12192809489	2.64643934467	2.52192809489	1.77095059445	2.84643934467
alpha_rarefaction_10_9.txt	10	9	2.64643934467	1.77095059445	2.84643934467	2.84643934467	2.32192809489	3.12192809489	2.64643934467	2.92192809489	2.52192809489	2.92192809489
alpha_rarefaction_473_0.txt	473	0	4.98245104145	3.3600589391	5.19601546687	5.79192284274	5.65707117253	4.36524955634	4.37971667606	4.65003829884	4.55999962861	4.68423515758
alpha_rarefaction_473_1.txt	473	1	5.07903310851	3.84044947696	5.18592724635	5.74098375634	5.73096543068	4.45956856193	4.39649974296	4.59761219216	4.49361660979	4.65066535551
alpha_rarefaction_473_2.txt	473	2	4.90467932865	3.88976069035	5.26099822426	5.75098652518	5.46080663716	4.6491630716	4.5415224021	4.64411139885	4.67741550759	4.69988812045
alpha_rarefaction_473_3.txt	473	3	4.88180427065	3.90908059272	5.20615144773	5.76386651006	5.51334763687	4.55382012671	4.60262070114	4.6033062166	4.75962266899	4.73060375285
alpha_rarefaction_473_4.txt	473	4	4.86618719744	3.63334268725	5.35532543856	5.69537542849	5.5001213157	4.29927878816	4.52682382274	4.66798859757	4.3923268465	4.65464503351
alpha_rarefaction_473_5.txt	473	5	5.00866469684	3.9673195726	5.26218422219	5.6958176412	5.4939230724	4.32975161879	4.32377645382	4.45354585191	4.78357796786	4.64032776188
alpha_rarefaction_473_6.txt	473	6	4.97631584235	3.76643174408	5.31466289426	5.66394820069	5.23062364144	4.42337494139	4.22186088352	4.73845173924	4.52953775848	4.4754728532
alpha_rarefaction_473_7.txt	473	7	4.88751573161	3.97004653985	5.22919473162	5.72226147627	5.39715216544	4.37741314755	4.32557157692	4.54607864336	4.61248318694	4.82281697035
alpha_rarefaction_473_8.txt	473	8	4.88991903572	3.98783789512	5.31357889718	5.77007125687	5.4633697434	4.49565045463	4.61570369963	4.73693647815	4.3493764813	4.57472291211
alpha_rarefaction_473_9.txt	473	9	4.8153432135	3.74807286789	5.1531646858	5.82353145314	5.54550888329	4.42867950594	4.2064439515	4.51028049802	4.65720000315	4.74122465372
alpha_rarefaction_936_0.txt	936	0	5.16006374503	4.07273484056	5.47656746976	6.00935329678	5.85314883007	4.52714210116	4.57064029853	4.67010082414	4.72579132555	4.60775892068
alpha_rarefaction_936_1.txt	936	1	5.06895375859	4.06930143737	5.50461009333	6.00350816752	5.80985643824	4.57728726502	4.6160837192	4.71384159301	4.70254259286	4.8312719996
alpha_rarefaction_936_2.txt	936	2	5.13561370023	3.99731004417	5.31619343866	6.00715591672	5.72052379553	4.63037598051	4.57721431499	4.6522137511	4.69436398803	4.66465699985
alpha_rarefaction_936_3.txt	936	3	5.1634056089	4.17457297857	5.39230086365	5.90013382045	5.77761008811	4.68166659655	4.50812600832	4.78887486723	4.85927625237	4.67897486485
alpha_rarefaction_936_4.txt	936	4	5.07115632095	4.06432108976	5.49515193861	6.07074774787	5.77709129463	4.58478851035	4.58836879084	4.71353787019	4.71014817884	4.78196145758
alpha_rarefaction_936_5.txt	936	5	5.19566105764	4.10165604533	5.40599056008	6.00076136244	5.70032516885	4.65093984791	4.51208302982	4.75138745882	4.77094624439	4.82409965517
alpha_rarefaction_936_6.txt	936	6	5.04005563973	3.83273366201	5.29182498127	6.11650893011	5.75824834653	4.57168546127	4.51469220006	4.74372850387	4.78122487181	4.77131496966
alpha_rarefaction_936_7.txt	936	7	5.14684084713	4.13642442087	5.47075494492	5.99837277785	5.76694558535	4.66270001916	4.56191091802	4.71913076819	4.83229997849	4.88590120145
