	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_1862_9.txt	1862	9	256.0	210.0	241.0	283.0	277.0	136.0	202.0	138.0	154.0	169.0
alpha_rarefaction_2325_0.txt	2325	0	277.0	236.0	263.0	295.0	303.0	144.0	216.0	159.0	167.0	180.0
alpha_rarefaction_2325_1.txt	2325	1	266.0	221.0	255.0	315.0	298.0	156.0	211.0	156.0	160.0	178.0
alpha_rarefaction_2325_2.txt	2325	2	270.0	230.0	253.0	314.0	273.0	152.0	224.0	151.0	167.0	187.0
alpha_rarefaction_2325_3.txt	2325	3	260.0	222.0	269.0	318.0	281.0	166.0	229.0	163.0	155.0	180.0
alpha_rarefaction_2325_4.txt	2325	4	280.0	225.0	251.0	330.0	295.0	154.0	218.0	157.0	166.0	182.0
alpha_rarefaction_2325_5.txt	2325	5	267.0	226.0	252.0	311.0	294.0	155.0	207.0	153.0	163.0	179.0
alpha_rarefaction_2325_6.txt	2325	6	271.0	244.0	254.0	315.0	279.0	147.0	231.0	152.0	156.0	176.0
alpha_rarefaction_2325_7.txt	2325	7	254.0	226.0	266.0	319.0	292.0	150.0	220.0	167.0	158.0	172.0
alpha_rarefaction_2325_8.txt	2325	8	270.0	230.0	250.0	314.0	284.0	144.0	213.0	164.0	161.0	184.0
alpha_rarefaction_2325_9.txt	2325	9	272.0	229.0	264.0	311.0	296.0	150.0	213.0	152.0	163.0	177.0
alpha_rarefaction_2788_0.txt	2788	0	284.0	256.0	294.0	344.0	308.0	156.0	233.0	165.0	177.0	193.0
alpha_rarefaction_2788_1.txt	2788	1	297.0	265.0	281.0	338.0	295.0	162.0	236.0	170.0	175.0	182.0
alpha_rarefaction_2788_2.txt	2788	2	296.0	256.0	278.0	352.0	309.0	164.0	239.0	163.0	169.0	189.0
alpha_rarefaction_2788_3.txt	2788	3	288.0	248.0	271.0	338.0	318.0	166.0	240.0	169.0	178.0	193.0
alpha_rarefaction_2788_4.txt	2788	4	293.0	256.0	291.0	346.0	310.0	165.0	231.0	175.0	173.0	197.0
alpha_rarefaction_2788_5.txt	2788	5	285.0	250.0	275.0	341.0	302.0	163.0	234.0	165.0	172.0	190.0
alpha_rarefaction_2788_6.txt	2788	6	278.0	254.0	297.0	342.0	316.0	170.0	230.0	173.0	174.0	194.0
alpha_rarefaction_2788_7.txt	2788	7	288.0	259.0	285.0	335.0	308.0	165.0	233.0	167.0	176.0	188.0
alpha_rarefaction_2788_8.txt	2788	8	295.0	260.0	275.0	342.0	314.0	163.0	239.0	178.0	175.0	197.0
alpha_rarefaction_2788_9.txt	2788	9	292.0	254.0	291.0	341.0	304.0	165.0	231.0	166.0	170.0	192.0
alpha_rarefaction_3251_0.txt	3251	0	305.0	272.0	302.0	355.0	336.0	175.0	250.0	185.0	178.0	198.0
alpha_rarefaction_3251_1.txt	3251	1	308.0	276.0	310.0	355.0	335.0	173.0	242.0	188.0	183.0	203.0
alpha_rarefaction_3251_2.txt	3251	2	302.0	271.0	305.0	359.0	322.0	172.0	246.0	185.0	184.0	202.0
alpha_rarefaction_3251_3.txt	3251	3	308.0	274.0	302.0	365.0	331.0	177.0	253.0	190.0	180.0	205.0
alpha_rarefaction_3251_4.txt	3251	4	310.0	269.0	300.0	360.0	324.0	166.0	260.0	188.0	171.0	206.0
alpha_rarefaction_3251_5.txt	3251	5	308.0	277.0	319.0	370.0	328.0	173.0	242.0	180.0	172.0	204.0
