#Sample	OTU	Abundance
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2680	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2682	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU704	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2575	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU253	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2777	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU106	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU103	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU368	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU28	8.6853
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU662	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2549	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2781	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU111	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU116	5.6562
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU96	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU689	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU208	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU209	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU206	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU204	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU200	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1958	4.9735
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2202	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1950	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2375	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2377	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2371	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2372	6.8463
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU0	12.192
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU119	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU112	7.6067
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU93	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2551	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2793	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2798	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU565	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU86	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU789	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU781	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU633	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1976	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2150	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2154	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1978	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1979	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU972	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2308	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU871	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU48	7.4587
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2415	3.6331
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2410	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2412	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2418	4.7874
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU671	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1912	3.1051
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2528	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2529	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU578	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2636	4.3228
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU74	4.5737
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU174	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU171	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1787	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU194	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU402	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2098	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2090	2.2637
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2093	4.0187
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU2257	5.4204
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1974	7.2582
IGNIMBRITE.2.NULL.5	New.CleanUp.ReferenceOTU1975	4.9735
