#NodeID	NodeType	Abundance	k	p	c	o	f
New.CleanUp.ReferenceOTU2161	otu	3.8899	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae
New.CleanUp.ReferenceOTU2162	otu	3.3528	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU2165	otu	3.3528	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU2167	otu	3.3528	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU178	otu	5.7029	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__
New.CleanUp.ReferenceOTU1791	otu	4.9939	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU179	otu	14.2483	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__
New.CleanUp.ReferenceOTU2222	otu	3.3528	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU2221	otu	3.3528	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU2224	otu	3.3528	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__	f__
New.CleanUp.ReferenceOTU1503	otu	6.6719	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU78	otu	9.3199	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU79	otu	11.7898	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU515	otu	3.0576	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Geodermatophilaceae
New.CleanUp.ReferenceOTU1931	otu	3.3528	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU1937	otu	8.3749	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU1938	otu	3.0576	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU2596	otu	3.0576	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Nocardioidaceae
New.CleanUp.ReferenceOTU513	otu	10.5262	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU764	otu	6.0237	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Conexibacteraceae
New.CleanUp.ReferenceOTU2356	otu	3.1051	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU2354	otu	5.3264	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__
New.CleanUp.ReferenceOTU2684	otu	4.7513	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU2686	otu	3.1051	k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__WD2101	f__
New.CleanUp.ReferenceOTU2680	otu	3.6331	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU2682	otu	10.0899	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU721	otu	3.5176	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU702	otu	3.5176	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU3221	otu	4.0258	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU3175	otu	2.947	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU3170	otu	4.0258	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU720	otu	6.2135	k__Bacteria	p__Actinobacteria	c__Thermoleophilia	o__Solirubrobacterales	f__Patulibacteraceae
New.CleanUp.ReferenceOTU704	otu	4.4286	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__
New.CleanUp.ReferenceOTU3082	otu	2.6959	Unassigned	NA	NA	NA	NA
New.CleanUp.ReferenceOTU3083	otu	4.8188	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
