#NodeID	NodeType	Abundance	k	p	c	o	f
New.CleanUp.ReferenceOTU2145	otu	3.8899	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU2142	otu	3.3528	k__Bacteria	p__Chloroflexi	c__Chloroflexi	o__AKIW781	f__
New.CleanUp.ReferenceOTU3893	otu	4.7089	k__Bacteria	p__FBP	c__	o__	f__
New.CleanUp.ReferenceOTU590	otu	4.7892	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
New.CleanUp.ReferenceOTU1034	otu	4.2878	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Synechococcales	f__Acaryochloridaceae
New.CleanUp.ReferenceOTU1958	otu	12.2504	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU2202	otu	12.4724	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU1950	otu	4.7513	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
New.CleanUp.ReferenceOTU1951	otu	3.0576	k__Bacteria	p__Actinobacteria	c__Rubrobacteria	o__Rubrobacterales	f__Rubrobacteraceae
New.CleanUp.ReferenceOTU3622	otu	4.0258	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Chroococcales	f__Xenococcaceae
