OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
2036172	28.6025890394262	-4.50473912844464	0.96156123512442	-4.68481773587904	2.80209169861944e-06	2.94780046694765e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halolamina; s__
New.CleanUp.ReferenceOTU89	12.9802914114665	-3.93211987323133	0.846026563636595	-4.64774989608996	3.35575436704671e-06	3.3944746097434e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU61	13.7843802599644	-3.9738976936334	0.860070721287082	-4.62043131486505	3.82943106477009e-06	3.73014951864642e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
4136360	15.8520372989591	-4.03891033376825	0.90017547723151	-4.48680333548956	7.22997546484768e-06	6.79101266876764e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU27	24.811884467936	-4.31791500329613	0.969018490143844	-4.45596760765129	8.35156426907245e-06	7.57400483712433e-05	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halorhabdus; s__
568698	84.5441989277818	4.45662817426646	1.0019609449757	4.44790607519594	8.67114279301644e-06	7.60170184854442e-05	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__
4362403	12.405942233968	-3.79194298451335	0.881479396605659	-4.3017942326447	1.69420608681058e-05	0.000143734258332639	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
162202	145.540081578124	4.47372955765968	1.05162920495324	4.2540940633715	2.09897060264335e-05	0.00017250914640475	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__
808533	76.5033104428025	4.34361443414262	1.02552526889213	4.23550210404373	2.28041568115306e-05	0.00018174221943735	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__
New.CleanUp.ReferenceOTU476	9.53419634647539	-3.54908138931598	0.842555817412181	-4.21228044002663	2.52805401982152e-05	0.000195552413886194	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
823523	174.027800782051	4.43802571132002	1.06067737492729	4.18414290360843	2.8624401289786e-05	0.00021509192969182	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__; s__
4483596	26.0754526584327	-3.2787327098894	0.789948080508745	-4.15056734839817	3.31652159923077e-05	0.000229538205420446	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__
New.CleanUp.ReferenceOTU39	10.7977645369721	-3.63543551466212	0.875235095848947	-4.153667433932	3.27188603689316e-05	0.000229538205420446	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
New.CleanUp.ReferenceOTU36	16.4263864764576	-3.93648833996505	0.947224289905718	-4.15581439571917	3.2413088280803e-05	0.000229538205420446	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halosimplex; s__carlsbadense
236030	8.50036782697806	-3.42258251836567	0.831395254520405	-4.11667314644465	3.84380584704463e-05	0.00025416511046072	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU1682	15.3925579569603	-3.87788398092322	0.942293470085552	-4.11536756226395	3.86562905643681e-05	0.00025416511046072	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU5	88.6795130057711	4.26858374853556	1.04366603200456	4.08999010951513	4.31391584212456e-05	0.000276721918653356	k__Bacteria; p__Chloroflexi; c__[Thermobacula]; o__[Thermobaculales]; f__[Thermobaculaceae]; g__Thermobaculum; s__
New.CleanUp.ReferenceOTU113	8.04088848497925	-3.36215278093064	0.824739153632746	-4.07662564111488	4.56939701553323e-05	0.000286131289306009	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
2053922	65.9352855768298	4.15673403738983	1.03399364310955	4.02007697541468	5.81791289498682e-05	0.00035583978869338	k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Acaryochloridaceae; g__Acaryochloris; s__
New.CleanUp.ReferenceOTU2	119.005149577693	4.24297786322956	1.06072123356468	4.0000876092303	6.33190382484401e-05	0.000378475160439539	k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae; o__Chroococcales; f__Xenococcaceae; g__Chroococcidiopsis; s__
203418	15.9669071344588	3.53698868815582	0.891867980847996	3.96582091084021	7.3143768179687e-05	0.000427484689583504	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
544733	7.58140914298043	-3.27656437444565	0.829202969265875	-3.95146242342392	7.76750698773717e-05	0.000444098769081494	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; NA; NA
